,NDVI,SR,GCVI,NDWI,VARI,GNDVI,GRVI,SAVI,VSSI,S1,S2,S3_G1,S3_G2,S4,S5_G1,S5_G2,S6_G1,S6_G2,SI,NDSI,SI1_G1,SI1_G2,SI2_G1,SI2_G2,SI3_G1,SI3_G2,Int1_G1,Int1_G2,Int2_G1,Int2_G2,YRS6_G1,YRS6_G2,RS6_G1,RS6_G2,RS1,RS2,RS3_G1,RS3_G2,RS4,RS5_G1,RS5_G2,RNDSI,RNDVI,RSI,RSI1_G1,RSI1_G2,RSI2_G1,RSI2_G2,RSI3_G1,RSI3_G2,RInt1_G1,RInt1_G2,RInt2_G1,RInt2_G2,YRS1,YRS2,YRS3_G1,YRS3_G2,YRS4,YRS5_G1,YRS5_G2,YRSI,YRSI1_G1,YRSI1_G2,YRSI2_G1,YRSI2_G2,YRSI3_G1,YRSI3_G2,YRInt1_G1,YRInt1_G2,YRInt2_G1,YRInt2_G2,YRNDSI,YRNDVI,YBS1,YBS2,YBS4,YBS5_G1,YBS5_G2,YBSI,YGS3,YGSI1,YGSI2,YGSI3,YGInt1,YGInt2,YNS6_G1,YNS6_G2,YNSI2_G1,YNSI2_G2,YNInt2_G1,YNInt2_G2,YNNDSI,YNNDVI,b1_1,b2_1,b3_1,b4_1,SAR
25,0.271492,1.7453378,1.4616708,-0.42224228,-0.2594691,0.42224228,2.4616709,0.18097448,-20812.5,0.5874822,-0.25985885,2068.077,2285.2314,1286.0215,1393.9087,1311.9382,4251.9365,4251.9365,51.549297,-0.271492,1405.5475,1480.3455,3576.8066,3616.338,2039.602,2117.9297,1424.0,1489.0,2872.25,2928.5,4123.3545,3759.1377,4709.764,4236.077,0.5194495,-0.31627166,2302.0938,2550.8896,1368.082,1570.676,1456.0045,-0.21819112,0.21819112,53.631683,1498.4023,1581.7471,3684.5308,3722.9216,2228.2734,2304.9941,1537.5,1606.0,2998.75,3055.0,0.58924663,-0.25845802,2044.0986,2260.6602,1296.0361,1414.4633,1299.1746,51.830452,1419.4951,1489.6232,3593.9653,3633.3174,2067.8467,2134.4824,1441.0,1499.5,2898.75,2955.0,-0.27221578,0.27221578,0.9853572,-0.0073767393,1673.7786,2400.1711,2191.277,57.861202,2903.792,1673.7786,3782.1128,2367.7065,1674.0,3136.5,2400.1711,2191.277,2648.1519,2696.9556,2268.5,2323.75,0.0073767393,-0.0073767393,0.5888235,0.40613455,0.39502448,0.19376892,75.93418202627853
26,0.3505168,2.0793715,2.2120857,-0.52517545,-0.30312294,0.52517545,3.2120857,0.23365074,-19652.0,0.5418986,-0.29711157,1648.8374,1838.4563,1017.1938,1143.3372,1045.8943,4431.291,4431.291,46.27633,-0.3505168,1126.6274,1186.3721,3344.5635,3362.4258,1661.5781,1716.0254,1148.25,1200.75,2589.75,2642.5,4227.6064,3865.8403,5316.8066,4942.425,0.45208284,-0.3773319,2005.8806,2219.4678,1129.148,1405.8168,1261.4231,-0.25825304,0.25825304,49.603424,1241.0674,1307.1816,3475.583,3499.9517,1917.0162,1985.3093,1303.0,1360.5,2737.0,2780.75,0.5691118,-0.2746067,1580.8198,1734.4491,991.3213,1089.4816,999.8946,45.475258,1096.1099,1155.5417,3313.87,3335.7974,1599.709,1661.5264,1112.5,1165.25,2564.25,2601.5,-0.3754334,0.3754334,0.95619583,-0.022392599,1355.6176,2016.519,1832.1235,52.072067,2445.2715,1355.6176,3484.095,1917.5073,1355.75,2805.25,2016.519,1832.1235,2121.372,2163.731,1803.75,1859.25,0.022392599,-0.022392599,0.79403496,0.20639853,0.45860136,0.33538508,65.71181323435182
27,0.33379588,2.0020895,1.6755617,-0.45586377,-0.2233086,0.45586377,2.6755617,0.22250125,-17003.0,0.6327779,-0.22490656,1473.7942,1589.9159,1004.5315,1039.9653,984.5952,3261.0732,3261.0732,45.36518,-0.33379588,1087.275,1135.3069,2953.1372,2982.38,1571.4656,1622.5072,1098.5,1141.5,2339.25,2373.0,3365.126,3095.604,4053.5723,3688.2686,0.53286815,-0.3047437,1784.3848,1909.8423,1088.6807,1255.3389,1173.0703,-0.25012136,0.25012136,47.827713,1178.7743,1233.3712,3047.024,3075.3723,1765.3715,1807.9052,1214.75,1256.0,2450.25,2486.25,0.6284144,-0.22818887,1512.7147,1595.3818,1002.79504,1036.485,998.82886,45.392635,1099.7192,1133.0708,2936.6836,2964.9692,1582.2354,1622.6462,1111.5,1140.25,2341.0,2381.25,-0.32574934,0.32574934,1.000127,5.939731e-05,1270.2646,1647.0549,1564.5348,50.40833,2003.1832,1270.2646,3053.831,1797.0911,1270.5,2492.5,1647.0549,1564.5348,2027.4146,2068.2341,1737.0,1781.75,-5.939731e-05,5.939731e-05,0.49820924,0.5002953,0.36121005,0.13659877,122.73569917449385
28,0.3087506,1.8933119,1.8755198,-0.48394012,-0.29607162,0.48394012,2.8755198,0.20580916,-19038.5,0.5425409,-0.29656225,1814.6355,1974.7817,1057.9878,1159.7905,1047.1716,4034.8884,4034.8884,46.99994,-0.3087506,1177.0625,1235.6499,3232.377,3266.9766,1728.8862,1789.9275,1200.0,1250.75,2557.75,2615.75,3993.5117,3619.4634,4804.781,4443.7754,0.4649429,-0.36524135,2120.5469,2327.3088,1142.965,1378.7053,1236.9231,-0.2305845,0.2305845,49.67864,1269.2139,1347.8733,3349.1025,3380.983,1945.8279,2011.5938,1322.75,1385.75,2682.5,2742.0,0.5630392,-0.27955937,1739.8765,1915.4282,1041.6863,1137.103,1023.19403,46.588573,1165.4508,1212.3331,3222.961,3254.606,1703.0354,1743.1337,1185.0,1222.5,2539.5,2598.0,-0.3208167,0.3208167,0.96159744,-0.019577775,1416.843,2084.1848,1889.9897,53.235325,2594.6587,1416.843,3384.7827,2004.1626,1417.0,2776.75,2084.1848,1889.9897,2227.026,2273.146,1902.5,1952.0,0.019577775,-0.019577775,0.5807793,0.41834688,0.4309336,0.15030913,113.58749740883974
29,0.2770688,1.7666297,1.5849802,-0.44211674,-0.2849622,0.44211674,2.5849802,0.18468982,-18346.0,0.5590354,-0.28284478,1789.6744,2025.437,1107.8667,1225.7844,1083.785,3839.2393,3839.2393,48.02083,-0.2770688,1220.1415,1301.0817,3146.6287,3189.6704,1788.3842,1867.936,1244.0,1311.0,2533.0,2597.25,3755.8208,3322.9468,4284.3335,3850.4424,0.4969879,-0.33601674,2032.51,2293.9636,1174.0134,1374.5784,1221.8862,-0.21324304,0.21324304,49.94496,1296.2336,1377.9055,3252.386,3294.2449,1949.1975,2020.0225,1338.75,1403.0,2640.5,2704.75,0.5765325,-0.26860976,1759.1719,1985.1345,1100.7427,1215.7985,1067.2307,47.801655,1207.8467,1282.951,3143.7495,3180.3745,1763.8895,1845.2096,1226.0,1293.5,2510.5,2581.5,-0.28614908,0.28614908,0.9712702,-0.014600186,1467.974,2140.483,1906.2646,54.18485,2594.1646,1467.974,3313.4053,2076.1023,1468.0,2750.0,2140.483,1906.2646,2308.0957,2361.3936,1972.5,2032.5,0.014600186,-0.014600186,0.7447113,0.25426197,0.6497444,0.0952458,151.98907677277103
30,0.23899287,1.6280968,1.4296949,-0.416857,-0.29954892,0.416857,2.4296947,0.15931013,-19471.0,0.56057703,-0.28157806,2006.2523,2186.1997,1229.3374,1370.6399,1262.804,4031.9941,4031.9941,50.709957,-0.23899287,1354.936,1413.1904,3350.8772,3390.3228,1994.4148,2050.2249,1381.0,1431.5,2735.5,2790.25,3711.0679,3404.4473,4292.343,3993.2139,0.51463354,-0.32045394,2127.8252,2319.9814,1276.9419,1479.9883,1362.0413,-0.20398632,0.20398632,51.99519,1410.0527,1469.5686,3411.1296,3445.7146,2105.537,2150.3054,1450.5,1495.25,2814.75,2864.25,0.6069367,-0.24460414,1838.7112,2008.8148,1181.8131,1263.7435,1167.7965,49.391045,1297.2664,1348.9174,3308.5127,3348.47,1879.921,1932.5574,1312.75,1357.75,2694.5,2749.25,-0.27575284,0.27575284,0.9248717,-0.039034203,1592.9563,2300.4197,2101.539,56.47123,2766.0837,1592.9563,3534.303,2257.1445,1594.5,2958.5,2300.4197,2101.539,2510.9214,2552.0718,2144.5,2189.5,0.039034203,-0.039034203,0.6827128,0.31487575,0.44860125,0.23395815,58.227523789246085
31,0.22709501,1.5876414,1.3334255,-0.40000397,-0.29263675,0.40000397,2.3334255,0.15138042,-20967.0,0.5667813,-0.27650303,2148.957,2297.4004,1368.5908,1543.9912,1433.9275,4189.79,4189.79,53.36197,-0.22709501,1482.718,1532.9961,3622.7012,3643.1934,2182.1738,2227.9585,1510.25,1555.0,2957.75,2992.0,3823.9868,3630.7158,4544.091,4247.2227,0.5291482,-0.3079179,2315.3623,2435.7266,1417.8187,1648.8481,1531.2317,-0.19039561,0.19039561,54.516052,1537.7416,1587.094,3670.6226,3694.987,2299.134,2349.416,1582.25,1624.5,3010.25,3056.75,0.6383782,-0.22072402,1921.7117,2054.4297,1286.9705,1379.6025,1277.7112,51.507256,1404.8907,1451.7437,3529.9902,3551.3958,2029.9412,2081.9216,1419.5,1462.0,2861.5,2901.25,-0.27476642,0.27476642,0.89557344,-0.05508971,1709.4174,2412.143,2256.3008,58.51495,2846.6987,1709.4174,3773.0518,2425.0366,1712.0,3156.25,2412.143,2256.3008,2716.0354,2756.562,2324.0,2367.25,0.05508971,-0.05508971,0.724725,0.27579135,0.3421772,0.382694,6.498390727489088
32,0.2934614,1.8307071,1.7790906,-0.4707694,-0.31670457,0.4707694,2.7790906,0.19561568,-17534.0,0.56879604,-0.27486405,1562.6782,1717.3553,1049.9502,1185.8623,1104.6549,3809.5679,3809.5679,46.66897,-0.2934614,1112.3357,1176.4705,2992.186,3019.3413,1641.0006,1705.8472,1135.25,1191.75,2391.0,2432.5,3545.2075,3285.2336,4160.51,3880.1072,0.51281524,-0.3220385,1722.2848,1917.6499,1100.5347,1326.6266,1217.4204,-0.24342662,0.24342662,48.124725,1166.6436,1224.2609,3069.685,3089.6868,1751.2761,1817.2683,1202.0,1255.0,2473.25,2508.0,0.6081983,-0.24362776,1485.2314,1613.9374,1021.22437,1108.0029,1037.7129,45.89662,1087.696,1136.2593,2956.9153,2984.9983,1599.3032,1641.4044,1109.5,1148.75,2352.5,2390.25,-0.3195355,0.3195355,0.9412353,-0.030273352,1347.1547,1939.0316,1804.9009,51.913345,2268.562,1347.1547,3128.2603,1906.1411,1347.5,2588.25,1939.0316,1804.9009,2111.08,2155.0881,1798.5,1850.25,0.030273352,-0.030273352,0.74285185,0.25670964,0.38311255,0.3599257,5.10865941162746
33,0.30672008,1.8848424,1.9117835,-0.4887178,-0.32342368,0.4887178,2.9117835,0.20445421,-17697.0,0.5398938,-0.29881305,1609.3079,1676.1399,997.22437,1141.5403,1104.6633,3897.425,3897.425,45.700108,-0.30672008,1086.3434,1110.6913,3018.9304,3027.3496,1614.5032,1641.0669,1114.0,1137.5,2388.5,2410.25,3571.1565,3418.4766,4482.449,4313.185,0.48180765,-0.34970304,1812.6139,1884.7638,1062.8218,1305.5083,1255.7129,-0.24590376,0.24590376,47.61302,1154.8174,1176.6267,3113.755,3114.592,1753.6062,1774.0498,1196.75,1217.75,2482.25,2488.75,0.5938717,-0.254807,1482.4493,1535.871,951.26764,1035.6384,1002.1571,44.35086,1042.324,1065.6812,2980.2493,2991.8162,1522.2622,1543.7952,1059.5,1079.25,2336.75,2354.5,-0.3458486,0.3458486,0.9053386,-0.049682267,1295.7476,1901.6162,1818.4795,50.936234,2312.8875,1295.7476,3136.3274,1836.7102,1297.25,2566.0,1901.6162,1818.4795,2035.3423,2054.9536,1735.75,1758.25,0.049682267,-0.049682267,0.63649905,0.3593001,0.44091898,0.19536203,42.817975299473886
34,0.28649247,1.8030562,1.6958337,-0.45884916,-0.30087757,0.45884916,2.6958337,0.19097188,-18832.5,0.57182455,-0.27240664,1746.1248,1866.3168,1148.2217,1283.8442,1211.2981,4004.524,4004.524,48.84668,-0.28649247,1231.3745,1272.4338,3226.772,3247.7634,1816.6372,1853.728,1258.25,1291.25,2603.25,2641.25,3683.8901,3487.9194,4476.173,4210.45,0.5152238,-0.31994557,1954.2085,2071.2896,1199.0431,1421.4711,1368.0312,-0.23284197,0.23284197,50.34872,1300.0706,1348.9288,3317.4897,3337.941,1959.6426,1997.0485,1344.75,1385.75,2678.25,2722.75,0.6203261,-0.23432237,1608.0222,1697.7405,1102.1229,1193.6787,1129.2566,47.607773,1185.0508,1219.0947,3173.2466,3194.61,1718.6343,1750.1476,1200.25,1228.0,2534.25,2566.5,-0.32257652,0.32257652,0.9182505,-0.042616688,1450.5186,2050.9236,1956.6104,53.888573,2397.4258,1450.5186,3361.5442,2055.5312,1452.0,2781.25,2050.9236,1956.6104,2286.2068,2315.7847,1952.25,1985.25,0.042616688,-0.042616688,0.8266838,0.17584135,0.41189992,0.41439956,5.541449845107928
